Time resolution is 1 ps
Simulation start!
Time = 5203000 ns, PN = 0, FSK_Out = 1700
Time = 5234000 ns, PN = 0, FSK_Out = 1446
Time = 5264000 ns, PN = 0, FSK_Out = 1135
Time = 5295000 ns, PN = 0, FSK_Out =  782
Time = 5325000 ns, PN = 0, FSK_Out =  398
Time = 5356000 ns, PN = 0, FSK_Out = 4094
Time = 5386000 ns, PN = 0, FSK_Out = 3695
Time = 5417000 ns, PN = 0, FSK_Out = 3312
Time = 5447000 ns, PN = 0, FSK_Out = 2958
Time = 5478000 ns, PN = 0, FSK_Out = 2648
Time = 5508000 ns, PN = 0, FSK_Out = 2394
Time = 5539000 ns, PN = 0, FSK_Out = 2205
Time = 5570000 ns, PN = 0, FSK_Out = 2089
Time = 5600000 ns, PN = 0, FSK_Out = 2050
Time = 5631000 ns, PN = 0, FSK_Out = 2090
Time = 5661000 ns, PN = 0, FSK_Out = 2206
Time = 5692000 ns, PN = 0, FSK_Out = 2396
Time = 5722000 ns, PN = 0, FSK_Out = 2650
Time = 5753000 ns, PN = 0, FSK_Out = 2961
Time = 5783000 ns, PN = 0, FSK_Out = 3314
Time = 5814000 ns, PN = 0, FSK_Out = 3698
Time = 5844000 ns, PN = 0, FSK_Out =    2
Time = 5875000 ns, PN = 0, FSK_Out =  401
Time = 5905000 ns, PN = 0, FSK_Out =  784
Time = 5936000 ns, PN = 0, FSK_Out = 1138
Time = 5966000 ns, PN = 0, FSK_Out = 1448
Time = 5997000 ns, PN = 0, FSK_Out = 1702
Time = 6027000 ns, PN = 0, FSK_Out = 1891
Time = 6058000 ns, PN = 0, FSK_Out = 2007
Time = 6088000 ns, PN = 0, FSK_Out = 2046
Time = 6119000 ns, PN = 0, FSK_Out = 2006
Time = 6149000 ns, PN = 0, FSK_Out = 1890
Time = 6180000 ns, PN = 0, FSK_Out = 1700
Time = 6210000 ns, PN = 0, FSK_Out = 1446
Time = 6241000 ns, PN = 0, FSK_Out = 1135
Time = 6271000 ns, PN = 0, FSK_Out =  782
Time = 6302000 ns, PN = 0, FSK_Out =  398
Time = 6332000 ns, PN = 0, FSK_Out = 4094
Time = 6363000 ns, PN = 0, FSK_Out = 3695
Time = 6394000 ns, PN = 0, FSK_Out = 3312
Time = 6424000 ns, PN = 0, FSK_Out = 2958
Time = 6455000 ns, PN = 0, FSK_Out = 2648
Time = 6485000 ns, PN = 0, FSK_Out = 2394
Time = 6516000 ns, PN = 0, FSK_Out = 2205
Time = 6546000 ns, PN = 0, FSK_Out = 2089
Time = 6577000 ns, PN = 0, FSK_Out = 2050
Time = 6607000 ns, PN = 0, FSK_Out = 2090
Time = 6638000 ns, PN = 0, FSK_Out = 2206
Time = 6668000 ns, PN = 0, FSK_Out = 2396
Time = 6699000 ns, PN = 0, FSK_Out = 2650
Time = 6729000 ns, PN = 0, FSK_Out = 2961
Time = 6760000 ns, PN = 0, FSK_Out = 3314
Time = 6790000 ns, PN = 0, FSK_Out = 3698
Time = 6821000 ns, PN = 0, FSK_Out =    2
Time = 6851000 ns, PN = 0, FSK_Out =  401
Time = 6882000 ns, PN = 0, FSK_Out =  784
Time = 6912000 ns, PN = 0, FSK_Out = 1138
Time = 6943000 ns, PN = 0, FSK_Out = 1448
Time = 6973000 ns, PN = 0, FSK_Out = 1702
Time = 7004000 ns, PN = 0, FSK_Out = 1891
Time = 7034000 ns, PN = 0, FSK_Out = 2007
Time = 7065000 ns, PN = 0, FSK_Out = 2046
Time = 7095000 ns, PN = 0, FSK_Out = 2006
Time = 7126000 ns, PN = 0, FSK_Out = 1890
Time = 7156000 ns, PN = 0, FSK_Out = 1700
Time = 7187000 ns, PN = 0, FSK_Out = 1446
Time = 7218000 ns, PN = 0, FSK_Out = 1135
Time = 7248000 ns, PN = 0, FSK_Out =  782
Time = 7279000 ns, PN = 0, FSK_Out =  398
Time = 7309000 ns, PN = 0, FSK_Out = 4094
Time = 7340000 ns, PN = 0, FSK_Out = 3695
Time = 7370000 ns, PN = 0, FSK_Out = 3312
Time = 7401000 ns, PN = 0, FSK_Out = 2958
Time = 7431000 ns, PN = 0, FSK_Out = 2648
Time = 7462000 ns, PN = 0, FSK_Out = 2394
Time = 7492000 ns, PN = 0, FSK_Out = 2205
Time = 7523000 ns, PN = 0, FSK_Out = 2089
Time = 7553000 ns, PN = 0, FSK_Out = 2050
Time = 7584000 ns, PN = 0, FSK_Out = 2090
Time = 7614000 ns, PN = 0, FSK_Out = 2206
Time = 7645000 ns, PN = 0, FSK_Out = 2396
Time = 7675000 ns, PN = 0, FSK_Out = 2650
Time = 7706000 ns, PN = 0, FSK_Out = 2961
Time = 7736000 ns, PN = 0, FSK_Out = 3314
Time = 7767000 ns, PN = 0, FSK_Out = 3698
Time = 7797000 ns, PN = 0, FSK_Out =    2
Time = 7828000 ns, PN = 0, FSK_Out =  401
